rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0376.jpg,150.4,0.6552,0.7322,0.8571,0.16,7,6,False,True
2,frame_0072.jpg,28.8,0.6455,0.5481,0.5714,1.0,6,4,False,True
3,frame_0073.jpg,29.2,0.643,0.5431,0.5714,1.0,7,4,False,False
4,frame_0001.jpg,0.4,0.6392,0.5355,0.5714,1.0,8,4,False,True
5,frame_0075.jpg,30.0,0.6333,0.5398,0.5714,0.96,7,4,False,False
6,frame_0074.jpg,29.6,0.6328,0.5228,0.5714,1.0,7,4,False,False
7,frame_0387.jpg,154.8,0.6296,0.665,0.8571,0.2,9,6,False,True
8,frame_0079.jpg,31.6,0.629,0.5094,0.7143,0.8,6,5,False,True
9,frame_0000.jpg,0.0,0.6285,0.5142,0.5714,1.0,7,4,False,False
10,frame_0070.jpg,28.0,0.6179,0.5786,0.4286,1.0,5,3,False,False
11,frame_0128.jpg,51.2,0.6079,0.5369,0.5714,0.84,6,4,False,True
12,frame_0287.jpg,114.8,0.5991,0.5834,0.5714,0.68,6,4,False,True
13,frame_0031.jpg,12.4,0.597,0.4511,0.5714,1.0,8,4,False,True
14,frame_0014.jpg,5.6,0.5841,0.5111,0.4286,1.0,3,3,False,True
15,frame_0294.jpg,117.6,0.5839,0.537,0.5714,0.72,5,4,False,True
16,frame_0067.jpg,26.8,0.5774,0.412,0.5714,1.0,6,4,False,True
17,frame_0002.jpg,0.8,0.5749,0.407,0.5714,1.0,6,4,False,False
18,frame_0292.jpg,116.8,0.5745,0.4861,0.5714,0.8,8,4,False,False
19,frame_0291.jpg,116.4,0.5721,0.4653,0.5714,0.84,7,4,False,False
20,frame_0130.jpg,52.0,0.5716,0.6038,0.2857,0.92,3,2,False,False
21,frame_0285.jpg,114.0,0.5713,0.5597,0.5714,0.6,5,4,False,False
22,frame_0328.jpg,131.2,0.5667,0.5015,1.0,0.08,10,7,False,True
23,frame_0209.jpg,83.6,0.5644,0.6694,0.2857,0.72,2,2,False,False
24,frame_0015.jpg,6.0,0.5541,0.451,0.4286,1.0,6,3,False,False
25,frame_0029.jpg,11.6,0.5525,0.4478,0.4286,1.0,6,3,False,False
26,frame_0375.jpg,150.0,0.5521,0.6814,0.5714,0.2,9,4,False,False
27,frame_0008.jpg,3.2,0.5503,0.4434,0.4286,1.0,3,3,False,False
28,frame_0077.jpg,30.8,0.5497,0.5759,0.2857,0.88,7,2,False,False
29,frame_0033.jpg,13.2,0.5485,0.4398,0.4286,1.0,5,3,False,False
30,frame_0386.jpg,154.4,0.5479,0.4856,0.8571,0.24,7,6,False,False
31,frame_0198.jpg,79.2,0.547,0.8322,0.1429,0.44,1,1,False,False
32,frame_0122.jpg,48.8,0.5466,0.5961,0.4286,0.6,3,3,False,False
33,frame_0167.jpg,66.8,0.5456,0.5083,0.5714,0.6,6,4,False,False
34,frame_0013.jpg,5.2,0.543,0.3432,0.5714,1.0,4,4,False,False
35,frame_0367.jpg,146.8,0.5428,0.5394,0.8571,0.08,8,6,False,False
36,frame_0071.jpg,28.4,0.5359,0.4147,0.4286,1.0,5,3,False,False
37,frame_0129.jpg,51.6,0.5338,0.4585,0.4286,0.88,5,3,False,False
38,frame_0168.jpg,67.2,0.5294,0.492,0.5714,0.56,6,4,False,False
39,frame_0106.jpg,42.4,0.5234,0.5166,0.8571,0.04,7,6,False,False
40,frame_0276.jpg,110.4,0.5218,0.4333,0.8571,0.24,6,6,False,False
41,frame_0286.jpg,114.4,0.5216,0.4444,0.5714,0.64,6,4,False,False
42,frame_0295.jpg,118.0,0.5213,0.5134,0.4286,0.68,4,3,False,False
43,frame_0076.jpg,30.4,0.5168,0.4941,0.2857,0.92,7,2,False,False
44,frame_0131.jpg,52.4,0.5165,0.3918,0.4286,0.96,4,3,False,False
45,frame_0016.jpg,6.4,0.516,0.3748,0.4286,1.0,4,3,False,False
46,frame_0284.jpg,113.6,0.5141,0.5471,0.4286,0.56,5,3,False,False
47,frame_0397.jpg,158.8,0.5137,0.5189,0.7143,0.2,7,5,False,False
48,frame_0390.jpg,156.0,0.5121,0.4779,0.8571,0.08,6,6,False,False
49,frame_0007.jpg,2.8,0.5082,0.4449,0.2857,1.0,3,2,False,False
50,frame_0289.jpg,115.6,0.5081,0.4551,0.4286,0.76,5,3,False,False
51,frame_0304.jpg,121.6,0.5069,0.5429,0.5714,0.32,6,4,False,False
52,frame_0297.jpg,118.8,0.5062,0.4296,0.5714,0.6,6,4,False,False
53,frame_0208.jpg,83.2,0.5061,0.5367,0.2857,0.76,2,2,False,False
54,frame_0278.jpg,111.2,0.5051,0.4536,0.7143,0.32,8,5,False,False
55,frame_0293.jpg,117.2,0.5035,0.4458,0.4286,0.76,6,3,False,False
56,frame_0069.jpg,27.6,0.501,0.3448,0.4286,1.0,6,3,False,False
57,frame_0280.jpg,112.0,0.5008,0.6702,0.2857,0.4,6,2,False,False
58,frame_0277.jpg,110.8,0.5003,0.46,0.7143,0.28,7,5,False,False
59,frame_0127.jpg,50.8,0.4972,0.4173,0.4286,0.8,7,3,False,False
